timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1505698898837,0,HTTP Request,200,OK,Thread Group 1-1016,text,true,,20250,122,1,1,0,0,0
1505698898838,1,HTTP Request,200,OK,Thread Group 1-1017,text,true,,20250,122,1,1,1,0,0
1505698898839,1,HTTP Request,200,OK,Thread Group 1-1019,text,true,,20250,122,2,2,1,0,0
1505698898839,1,HTTP Request,200,OK,Thread Group 1-1018,text,true,,20250,122,2,2,1,0,0
1505698898841,1,HTTP Request,200,OK,Thread Group 1-1020,text,true,,20250,122,1,1,1,0,1
1505698898842,1,HTTP Request,200,OK,Thread Group 1-1021,text,true,,20250,122,1,1,1,0,0
1505698898843,1,HTTP Request,200,OK,Thread Group 1-1022,text,true,,20250,122,1,1,1,0,1
1505698898844,1,HTTP Request,200,OK,Thread Group 1-1023,text,true,,20250,122,1,1,1,0,1
1505698898845,1,HTTP Request,200,OK,Thread Group 1-1024,text,true,,20250,122,1,1,1,0,1
1505698898847,1,HTTP Request,200,OK,Thread Group 1-1026,text,true,,20250,122,2,2,1,0,0
1505698898847,1,HTTP Request,200,OK,Thread Group 1-1025,text,true,,20250,122,2,2,1,0,0
1505698898850,0,HTTP Request,200,OK,Thread Group 1-1027,text,true,,20250,122,1,1,0,0,0
1505698898851,0,HTTP Request,200,OK,Thread Group 1-1028,text,true,,20250,122,1,1,0,0,0
1505698898853,1,HTTP Request,200,OK,Thread Group 1-1030,text,true,,20250,122,2,2,1,0,1
1505698898853,1,HTTP Request,200,OK,Thread Group 1-1029,text,true,,20250,122,2,2,1,0,1
1505698898855,1,HTTP Request,200,OK,Thread Group 1-1032,text,true,,20250,122,2,2,1,0,1
1505698898857,1,HTTP Request,200,OK,Thread Group 1-1033,text,true,,20250,122,3,3,1,0,0
1505698898857,1,HTTP Request,200,OK,Thread Group 1-1031,text,true,,20250,122,3,3,1,0,0
1505698898858,0,HTTP Request,200,OK,Thread Group 1-1034,text,true,,20250,122,1,1,0,0,0
1505698898859,1,HTTP Request,200,OK,Thread Group 1-1035,text,true,,20250,122,2,2,1,0,0
1505698898860,0,HTTP Request,200,OK,Thread Group 1-1036,text,true,,20250,122,1,1,0,0,0
1505698898861,0,HTTP Request,200,OK,Thread Group 1-1037,text,true,,20250,122,1,1,0,0,0
1505698898862,1,HTTP Request,200,OK,Thread Group 1-1038,text,true,,20250,122,1,1,1,0,0
1505698898863,1,HTTP Request,200,OK,Thread Group 1-1040,text,true,,20250,122,2,2,1,0,0
1505698898863,2,HTTP Request,200,OK,Thread Group 1-1039,text,true,,20250,122,1,1,2,0,0
1505698898866,1,HTTP Request,200,OK,Thread Group 1-1041,text,true,,20250,122,2,2,1,0,0
