timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1505699007596,1,HTTP Request,200,OK,Thread Group 1-2556,text,true,,748,122,1,1,1,0,0
1505699007597,1,HTTP Request,200,OK,Thread Group 1-2557,text,true,,748,122,1,1,1,0,1
1505699007598,1,HTTP Request,200,OK,Thread Group 1-2558,text,true,,748,122,1,1,1,0,1
1505699007600,0,HTTP Request,200,OK,Thread Group 1-2559,text,true,,748,122,1,1,0,0,0
1505699007601,0,HTTP Request,200,OK,Thread Group 1-2560,text,true,,748,122,1,1,0,0,0
1505699007602,0,HTTP Request,200,OK,Thread Group 1-2561,text,true,,748,122,1,1,0,0,0
1505699007603,0,HTTP Request,200,OK,Thread Group 1-2562,text,true,,748,122,1,1,0,0,0
1505699007604,0,HTTP Request,200,OK,Thread Group 1-2563,text,true,,748,122,1,1,0,0,0
1505699007605,0,HTTP Request,200,OK,Thread Group 1-2564,text,true,,748,122,1,1,0,0,0
1505699007606,0,HTTP Request,200,OK,Thread Group 1-2565,text,true,,748,122,1,1,0,0,0
1505699007607,0,HTTP Request,200,OK,Thread Group 1-2566,text,true,,748,122,2,2,0,0,0
1505699007607,0,HTTP Request,200,OK,Thread Group 1-2567,text,true,,748,122,1,1,0,0,0
1505699007608,0,HTTP Request,200,OK,Thread Group 1-2568,text,true,,748,122,1,1,0,0,0
1505699007610,0,HTTP Request,200,OK,Thread Group 1-2569,text,true,,748,122,1,1,0,0,0
1505699007611,0,HTTP Request,200,OK,Thread Group 1-2570,text,true,,748,122,1,1,0,0,0
1505699007612,0,HTTP Request,200,OK,Thread Group 1-2571,text,true,,748,122,1,1,0,0,0
1505699007613,0,HTTP Request,200,OK,Thread Group 1-2572,text,true,,748,122,1,1,0,0,0
1505699007614,0,HTTP Request,200,OK,Thread Group 1-2573,text,true,,748,122,1,1,0,0,0
1505699007615,0,HTTP Request,200,OK,Thread Group 1-2574,text,true,,748,122,1,1,0,0,0
1505699007616,1,HTTP Request,200,OK,Thread Group 1-2575,text,true,,748,122,1,1,1,0,1
1505699007617,1,HTTP Request,200,OK,Thread Group 1-2576,text,true,,748,122,1,1,1,0,1
1505699007618,1,HTTP Request,200,OK,Thread Group 1-2577,text,true,,748,122,1,1,1,0,1
1505699007620,0,HTTP Request,200,OK,Thread Group 1-2578,text,true,,748,122,1,1,0,0,0
1505699007621,0,HTTP Request,200,OK,Thread Group 1-2579,text,true,,748,122,1,1,0,0,0
1505699007622,0,HTTP Request,200,OK,Thread Group 1-2580,text,true,,748,122,1,1,0,0,0
1505699007623,0,HTTP Request,200,OK,Thread Group 1-2581,text,true,,748,122,1,1,0,0,0
1505699007624,0,HTTP Request,200,OK,Thread Group 1-2582,text,true,,748,122,1,1,0,0,0
1505699007625,0,HTTP Request,200,OK,Thread Group 1-2583,text,true,,748,122,2,2,0,0,0
1505699007625,0,HTTP Request,200,OK,Thread Group 1-2584,text,true,,748,122,2,2,0,0,0
1505699007626,0,HTTP Request,200,OK,Thread Group 1-2585,text,true,,748,122,1,1,0,0,0
1505699007627,0,HTTP Request,200,OK,Thread Group 1-2586,text,true,,748,122,1,1,0,0,0
1505699007629,0,HTTP Request,200,OK,Thread Group 1-2587,text,true,,748,122,1,1,0,0,0
1505699007630,0,HTTP Request,200,OK,Thread Group 1-2588,text,true,,748,122,1,1,0,0,0
1505699007631,0,HTTP Request,200,OK,Thread Group 1-2589,text,true,,748,122,1,1,0,0,0
1505699007632,0,HTTP Request,200,OK,Thread Group 1-2590,text,true,,748,122,1,1,0,0,0
1505699007633,0,HTTP Request,200,OK,Thread Group 1-2591,text,true,,748,122,1,1,0,0,0
1505699007634,0,HTTP Request,200,OK,Thread Group 1-2592,text,true,,748,122,1,1,0,0,0
1505699007636,0,HTTP Request,200,OK,Thread Group 1-2593,text,true,,748,122,1,1,0,0,0
1505699007637,0,HTTP Request,200,OK,Thread Group 1-2594,text,true,,748,122,1,1,0,0,0
1505699007638,0,HTTP Request,200,OK,Thread Group 1-2595,text,true,,748,122,1,1,0,0,0
1505699007639,0,HTTP Request,200,OK,Thread Group 1-2596,text,true,,748,122,1,1,0,0,0
1505699007640,0,HTTP Request,200,OK,Thread Group 1-2597,text,true,,748,122,1,1,0,0,0
1505699007641,0,HTTP Request,200,OK,Thread Group 1-2598,text,true,,748,122,1,1,0,0,0
1505699007642,0,HTTP Request,200,OK,Thread Group 1-2599,text,true,,748,122,1,1,0,0,0
1505699007643,0,HTTP Request,200,OK,Thread Group 1-2600,text,true,,748,122,1,1,0,0,0
1505699007644,0,HTTP Request,200,OK,Thread Group 1-2601,text,true,,748,122,1,1,0,0,0
1505699007645,0,HTTP Request,200,OK,Thread Group 1-2602,text,true,,748,122,2,2,0,0,0
1505699007645,0,HTTP Request,200,OK,Thread Group 1-2603,text,true,,748,122,2,2,0,0,0
1505699007647,0,HTTP Request,200,OK,Thread Group 1-2604,text,true,,748,122,1,1,0,0,0
1505699007648,0,HTTP Request,200,OK,Thread Group 1-2605,text,true,,748,122,1,1,0,0,0
1505699007649,0,HTTP Request,200,OK,Thread Group 1-2606,text,true,,748,122,1,1,0,0,0
1505699007650,0,HTTP Request,200,OK,Thread Group 1-2607,text,true,,748,122,1,1,0,0,0
1505699007651,0,HTTP Request,200,OK,Thread Group 1-2608,text,true,,748,122,1,1,0,0,0
1505699007652,0,HTTP Request,200,OK,Thread Group 1-2609,text,true,,748,122,1,1,0,0,0
1505699007653,0,HTTP Request,200,OK,Thread Group 1-2610,text,true,,748,122,1,1,0,0,0
1505699007655,0,HTTP Request,200,OK,Thread Group 1-2611,text,true,,748,122,1,1,0,0,0
1505699007656,0,HTTP Request,200,OK,Thread Group 1-2612,text,true,,748,122,1,1,0,0,0
1505699007657,0,HTTP Request,200,OK,Thread Group 1-2613,text,true,,748,122,1,1,0,0,0
1505699007658,0,HTTP Request,200,OK,Thread Group 1-2614,text,true,,748,122,1,1,0,0,0
1505699007659,0,HTTP Request,200,OK,Thread Group 1-2615,text,true,,748,122,1,1,0,0,0
1505699007660,0,HTTP Request,200,OK,Thread Group 1-2617,text,true,,748,122,2,2,0,0,0
1505699007660,0,HTTP Request,200,OK,Thread Group 1-2616,text,true,,748,122,2,2,0,0,0
1505699007662,0,HTTP Request,200,OK,Thread Group 1-2618,text,true,,748,122,1,1,0,0,0
1505699007663,0,HTTP Request,200,OK,Thread Group 1-2619,text,true,,748,122,1,1,0,0,0
1505699007664,0,HTTP Request,200,OK,Thread Group 1-2620,text,true,,748,122,1,1,0,0,0
1505699007665,0,HTTP Request,200,OK,Thread Group 1-2621,text,true,,748,122,1,1,0,0,0
1505699007666,0,HTTP Request,200,OK,Thread Group 1-2622,text,true,,748,122,1,1,0,0,0
1505699007667,0,HTTP Request,200,OK,Thread Group 1-2623,text,true,,748,122,1,1,0,0,0
1505699007668,0,HTTP Request,200,OK,Thread Group 1-2624,text,true,,748,122,1,1,0,0,0
1505699007669,0,HTTP Request,200,OK,Thread Group 1-2625,text,true,,748,122,1,1,0,0,0
1505699007670,1,HTTP Request,200,OK,Thread Group 1-2626,text,true,,748,122,1,1,1,0,0
1505699007671,1,HTTP Request,200,OK,Thread Group 1-2627,text,true,,748,122,1,1,1,0,0
1505699007673,0,HTTP Request,200,OK,Thread Group 1-2628,text,true,,748,122,1,1,0,0,0
1505699007674,0,HTTP Request,200,OK,Thread Group 1-2629,text,true,,748,122,1,1,0,0,0
1505699007675,0,HTTP Request,200,OK,Thread Group 1-2630,text,true,,748,122,1,1,0,0,0
1505699007676,0,HTTP Request,200,OK,Thread Group 1-2631,text,true,,748,122,1,1,0,0,0
1505699007677,0,HTTP Request,200,OK,Thread Group 1-2632,text,true,,748,122,1,1,0,0,0
1505699007678,0,HTTP Request,200,OK,Thread Group 1-2633,text,true,,748,122,2,2,0,0,0
1505699007678,0,HTTP Request,200,OK,Thread Group 1-2634,text,true,,748,122,2,2,0,0,0
1505699007679,0,HTTP Request,200,OK,Thread Group 1-2635,text,true,,748,122,1,1,0,0,0
1505699007681,0,HTTP Request,200,OK,Thread Group 1-2636,text,true,,748,122,1,1,0,0,0
1505699007682,0,HTTP Request,200,OK,Thread Group 1-2637,text,true,,748,122,1,1,0,0,0
1505699007683,0,HTTP Request,200,OK,Thread Group 1-2638,text,true,,748,122,1,1,0,0,0
1505699007684,0,HTTP Request,200,OK,Thread Group 1-2639,text,true,,748,122,1,1,0,0,0
1505699007685,0,HTTP Request,200,OK,Thread Group 1-2640,text,true,,748,122,1,1,0,0,0
1505699007686,0,HTTP Request,200,OK,Thread Group 1-2641,text,true,,748,122,1,1,0,0,0
1505699007687,1,HTTP Request,200,OK,Thread Group 1-2642,text,true,,748,122,1,1,1,0,0
1505699007688,0,HTTP Request,200,OK,Thread Group 1-2643,text,true,,748,122,1,1,0,0,0
1505699007690,0,HTTP Request,200,OK,Thread Group 1-2644,text,true,,748,122,1,1,0,0,0
